region,interest
Kansas,100
Delaware,47
California,45
Washington,37
New York,36
Massachusetts,36
Oregon,35
Maryland,33
Colorado,33
Virginia,33
Maine,32
New Jersey,31
District of Columbia,28
Georgia,28
New Hampshire,28
Pennsylvania,27
Utah,27
Texas,27
Nevada,26
Rhode Island,25
North Carolina,25
Florida,25
Illinois,25
Arizona,25
Minnesota,21
Montana,21
Connecticut,21
Michigan,19
Oklahoma,19
Arkansas,19
South Carolina,19
Ohio,19
Kentucky,17
Hawaii,17
Tennessee,17
Indiana,15
Wisconsin,15
Idaho,15
Alabama,14
Missouri,14
New Mexico,13
Iowa,10
Mississippi,9
Louisiana,8
