Region,Interest
Massachusetts,100
District of Columbia,22
Rhode Island,16
New Hampshire,15
Connecticut,12
Maine,11
Vermont,9
New York,9
Illinois,9
Oklahoma,8
Kansas,7
California,7
Maryland,7
New Jersey,6
Virginia,6
Pennsylvania,6
Colorado,6
Ohio,5
Wisconsin,5
Georgia,5
Texas,5
Washington,5
North Carolina,5
Florida,5
Delaware,5
Nebraska,4
Utah,4
Michigan,4
Missouri,4
Minnesota,4
Nevada,4
Indiana,4
Hawaii,4
Oregon,4
New Mexico,4
Arizona,4
Tennessee,4
Louisiana,4
South Dakota,3
South Carolina,3
Kentucky,3
Mississippi,3
Montana,3
Alabama,3
Idaho,3
Arkansas,3
Iowa,3
North Dakota,3
Alaska,3
Wyoming,3
